CSR,Knowledge of Service Systems and Processes,Education Academic School Bachelor Communication Hospitality Management Service Technology Marketing
CSR,English Communication Proficiency,Education Academic School Bachelor Communication Hospitality Management Service Technology Marketing
CSR,Basic Computer Skills and email writing,Education Academic School Bachelor Communication Hospitality Management Service Technology Marketing
CSR,Resolves Customer Inquiries,Education Academic School Bachelor Communication Hospitality Management Service Technology Marketing
CSR,Previous Work in Customer Service,Education Academic School Bachelor Communication Hospitality Management Service Technology Marketing
TSA,Technical Knowledge in Information Systems,Education Academic School Bachelor Communication Hospitality Management Service Technology Marketing
TSA,Familiarity with computer troubleshooting tools,Education Academic School Bachelor Information Technology Computer Science Engineering Management Systems
TSA,Supports software installation and processes.,Education Academic School Bachelor Information Technology Computer Science Engineering Management Systems
TSA,Analytical Thinking and Problem Solving,Education Academic School Bachelor Information Technology Computer Science Engineering Management Systems
TSA,Experience in tech support and troubleshooting.,Education Academic School Bachelor Information Technology Computer Science Engineering Management Systems
BOS,Proficiency in data management tools,Education Academic School Bachelor Management Administration Information Data Systems Technology 
BOS,Knowledge in databases and documentation,Education Academic School Bachelor Management Administration Information Data Systems Technology 
BOS,Organizes transaction and operation data,Education Academic School Bachelor Management Administration Information Data Systems Technology 
BOS,Great attention to detail,Education Academic School Bachelor Management Administration Information Data Systems Technology 
BOS,Experience in data management and processing,Education Academic School Bachelor Management Administration Information Data Systems Technology 
